RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,,8/31/2011,8/31/2012,8/31/2013,8/31/2014,8/31/2015,8/31/2016,8/31/2017,8/31/2018,8/31/2019,8/31/2020,Per8/31/2012,Per8/31/2013,Per8/31/2014,Per8/31/2015,Per8/31/2016,Per8/31/2017,Per8/31/2018,Per8/31/2019,Per8/31/2020
97955,5826,95054,Zip,CA,CA,Santa Clara,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,606897,654116,783895,851618,916593,986003,1078241,1373333,1181929,1245779,0.08,0.20,0.09,0.08,0.08,0.09,0.27,-0.14,0.05
97515,6051,94024,Zip,CA,CA,Los Altos,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,1317160,1448729,1696494,1820351,2132169,2252056,2437014,2986824,2664227,2923944,0.10,0.17,0.07,0.17,0.06,0.08,0.23,-0.11,0.10
97691,6425,94301,Zip,CA,CA,Palo Alto,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,1238749,1472951,1825321,2220340,2553558,2744703,2901496,3507532,3132067,3377596,0.19,0.24,0.22,0.15,0.07,0.06,0.21,-0.11,0.08
97513,6584,94022,Zip,CA,CA,Los Altos,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,1552029,1758373,2054472,2224188,2478071,2539497,2726796,3302072,2983554,3304728,0.13,0.17,0.08,0.11,0.02,0.07,0.21,-0.10,0.11
98003,6804,95135,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,604118,641304,764207,817142,849304,861342,912449,1112717,999335,1082737,0.06,0.19,0.07,0.04,0.01,0.06,0.22,-0.10,0.08
97528,7153,94041,Zip,CA,CA,Mountain View,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,772816,883541,1069340,1167349,1435570,1496351,1632219,2023539,1747827,1935722,0.14,0.21,0.09,0.23,0.04,0.09,0.24,-0.14,0.11
97978,7252,95110,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,356222,387013,480035,534060,613023,658548,717842,919362,838443,923826,0.09,0.24,0.11,0.15,0.07,0.09,0.28,-0.09,0.10
98006,7945,95138,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,434994,456629,562865,609975,680814,707064,774753,935535,821339,912513,0.05,0.23,0.08,0.12,0.04,0.10,0.21,-0.12,0.11
97936,8463,95030,Zip,CA,CA,Los Gatos,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,1246372,1410018,1571072,1681420,1912240,1933414,2052414,2445305,2283330,2327752,0.13,0.11,0.07,0.14,0.01,0.06,0.19,-0.07,0.02
97998,8983,95130,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,691554,736464,910001,962147,1048816,1115755,1217199,1514586,1282384,1383868,0.06,0.24,0.06,0.09,0.06,0.09,0.24,-0.15,0.08
97695,9500,94305,Zip,CA,CA,Stanford,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,1413064,1547327,2013064,2203231,2269006,2331085,2532252,2952377,2569488,2886155,0.10,0.30,0.09,0.03,0.03,0.09,0.17,-0.13,0.12
97939,10678,95033,Zip,CA,CA,Lexington Hills,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,743230,784032,864999,942098,1009312,1075879,1078922,1188840,1153313,1242283,0.05,0.10,0.09,0.07,0.07,0.00,0.10,-0.03,0.08
97987,11309,95119,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,414593,434332,549860,605608,667404,714083,796443,962522,832109,932533,0.05,0.27,0.10,0.10,0.07,0.12,0.21,-0.14,0.12
97950,12520,95046,Zip,CA,CA,San Martin,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,514901,494036,580057,661349,720387,744746,794346,934952,859071,1014968,-0.04,0.17,0.14,0.09,0.03,0.07,0.18,-0.08,0.18
97694,13027,94304,Zip,CA,CA,Palo Alto,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,1632197,1707974,2121836,2222167,2356582,2458224,2665249,3071432,2684573,3120513,0.05,0.24,0.05,0.06,0.04,0.08,0.15,-0.13,0.16
98007,13153,95139,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,380401,405582,511801,561242,619348,677781,748503,910443,794720,888351,0.07,0.26,0.10,0.10,0.09,0.10,0.22,-0.13,0.12
97949,14440,95045,Zip,CA,CA,San Juan Bautista,San Jose-Sunnyvale-Santa Clara,San Benito County,,340555,348490,403393,437362,464026,488223,514307,534265,556384,583213,0.02,0.16,0.08,0.06,0.05,0.05,0.04,0.04,0.05
97947,24989,95043,Zip,CA,CA,Paicines,San Jose-Sunnyvale-Santa Clara,San Benito County,,502851,481825,520739,510136,561660,580207,613000,591775,576531,582991,-0.04,0.08,-0.02,0.10,0.03,0.06,-0.03,-0.03,0.01
98008,28821,95140,Zip,CA,CA,East Foothills,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,654853,704095,804850,862717,939178,956894,1032436,1246126,1203290,1266917,0.08,0.14,0.07,0.09,0.02,0.08,0.21,-0.03,0.05
98009,34027,95141,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,1170696,1151080,1181696,1126579,1133887,1199001,1369755,1419506,1237958,1398301,-0.02,0.03,-0.05,0.01,0.06,0.14,0.04,-0.13,0.13
