"month_date_yyyymm","postal_code","zip_name","nielsen_hh_rank","hotness_rank","hotness_rank_mm","hotness_rank_yy","hotness_score","supply_score","demand_score","median_days_on_market","median_days_on_market_mm","median_dom_mm_day","median_days_on_market_yy","median_dom_yy_day","median_dom_vs_us","ldpviews_per_property_mm","ldpviews_per_property_yy","ldpviews_per_property_vs_us","median_listing_price","median_listing_price_mm","median_listing_price_yy","median_listing_price_vs_us"
202004,94086,"sunnyvale, ca",635,5882,-1881,501,57.279815,93.60162944,20.95799972,30,1.3077,17,0.3043,7,-32,-0.2627,-0.0114,0.6042,1415988,-0.0623,-0.056,4.4248
202004,94112,"san francisco, ca",275,1456,-1126,-763,83.168282,85.32097205,81.01559208,38,0.8095,17,0.3571,10,-24,-0.2947,-0.2105,1.5625,1185050,0.0922,0.1874,3.7031
202004,94014,"daly city, ca",2006,1896,-225,-940,79.937491,87.18218851,72.69279393,36.5,1.0278,18.5,0.7805,16,-25.5,0.0104,-0.2332,1.3472,996994,0.005,0.0478,3.1155
202004,94044,"pacifica, ca",1899,315,-152,171,92.716674,95.67354966,89.75979772,26.5,0.6061,10,-0.0185,-0.5,-35.5,-0.2615,-0.2303,1.9028,1273550,0.1205,0.1012,3.9797
202004,94303,"palo alto, ca",2385,4692,-1317,-246,63.344571,86.44472538,40.24441635,37,0.9474,18,-0.1084,-4.5,-25,-0.1168,-0.2798,0.8403,1394550,-0.0927,0.0142,4.3578
202004,94618,"oakland, ca",6117,1187,NULL,NULL,85.338531,98.37055766,72.30650372,20,0.25,4,0.2121,3.5,-42,-0.1345,-0.3545,1.3403,1187550,-0.1487,-0.1765,3.7109
202004,94110,"san francisco, ca",57,1625,1198,825,81.890013,88.41831718,75.36170811,35.5,0.2909,8,0.2909,8,-26.5,0.2454,0.0628,1.4097,1587550,0.0948,0.0862,4.9609
202004,94571,"rio vista, ca",9366,10647,-1436,-1763,29.930468,44.76752353,15.093412,66.5,0.3711,18,0.1083,6.5,4.5,0.0714,-0.4526,0.5208,417450,-0.006,0.0568,1.3044
202004,94556,"moraga, ca",7528,3963,-1373,-2601,67.319848,90.44809664,44.19159994,33.5,0,0,0,0,-28.5,-0.3175,-0.5038,0.8958,1167551,0.0266,-0.1948,3.6484
202004,94062,"redwood city, ca",4032,5266,-1022,-2038,60.408765,74.87708948,45.94044107,45,0.25,9,0.2676,9.5,-17,-0.102,-0.2979,0.9167,3113550,-0.0455,0.0487,9.7297
202004,94588,"pleasanton, ca",3268,1102,-712,732,86.009271,86.44472538,85.57381655,37,0.7619,16,0.6087,14,-25,-0.1981,0.235,1.7153,1052550,-0.0848,-0.0417,3.2891
202004,94561,"oakley, ca",2505,2524,-465,-1109,75.821745,66.72987779,84.91361146,50.5,0.2169,9,0.5538,18,-11.5,-0.0725,-0.083,1.6875,559093,-0.0183,0.0548,1.747
202004,94019,"half moon bay, ca",6301,2361,-864,985,76.734794,87.77918247,65.69040596,36,0.6,13.5,-0.0886,-3.5,-26,-0.1546,-0.1784,1.2153,1545050,0.0942,-0.0338,4.8281
202004,94609,"oakland, ca",4363,2776,NULL,-48,74.32926,96.64278691,52.01573255,24.5,-0.3099,-11,-0.2222,-7,-37.5,-0.2727,-0.2539,1,1034494,0.0355,0.0895,3.2326
202003,94002,"belmont, ca",3452,2174,NULL,2129,78.811541,98.00406191,59.61902094,18.5,-0.26,-6.5,-0.5375,-21.5,-41,-0.099,0.291,1.1457,1869050,0.5589,0.1396,5.8415
202004,94920,"belvedere tiburon, ca",7691,3907,-1176,-312,67.618345,63.47801658,71.75867397,52.5,0.6935,21.5,0.3636,14,-9.5,0.0914,-0.0402,1.3264,3736050,-0.1208,-0.0888,11.675
202004,94523,"pleasant hill, ca",2019,502,-81,-30,90.865992,92.95547127,88.77651356,31,0.0877,2.5,0.1071,3,-31,-0.2604,-0.2842,1.8542,744525,-0.000700,-0.0893,2.3265
202004,94560,"newark, ca",2251,2548,1622,3200,75.709369,91.52268577,59.89605282,32.5,0,0,0.1017,3,-29.5,0.1583,0.4248,1.1181,983549.5,0.0616,0.0928,3.0734
202004,94133,"san francisco, ca",1977,7510,-1138,758,48.588285,59.86093552,37.31563422,55,0.4286,16.5,0.2222,10,-7,0.0943,0.045,0.8056,2247550,-0.1356,0.0216,7.0234
202003,94061,"redwood city, ca",2178,5155,-2575,-3692,60.960151,87.5761608,34.34414175,32.5,0.5476,11.5,0.5476,11.5,-27,-0.383,-0.3483,0.7682,1712050,-0.0212,0.0382,5.3508
202003,94118,"san francisco, ca",947,889,1198,602,88.819245,97.3457525,80.29273759,20.5,-0.2931,-8.5,-0.3971,-13.5,-39,0.1239,-0.0041,1.6225,2250050,0.1261,0.0465,7.0323
202003,94507,"alamo, ca",7738,820,-702,-589,89.305974,85.28608446,93.32586316,34.5,0.9167,16.5,0.4375,10.5,-25,-0.2309,0.1358,2.2715,2099050,-0.0459,-0.045,6.5604
202003,94559,"napa, ca",4204,3306,-1878,229,71.332026,80.25071784,62.41333427,38,-0.0952,-4,-0.2692,-14,-21.5,-0.4268,-0.011,1.1921,832300,-0.0596,-0.0317,2.6012
202003,94040,"mountain view, ca",1859,4716,NULL,-875,63.243224,96.83451222,29.65193641,21.5,-0.1042,-2.5,0.2647,4.5,-38,-0.4362,0.0192,0.702,1726788,-0.1366,0.0158,5.3969
