month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
201906,95476,"sonoma, ca",*,1500050,0.0017,NULL,134,0.1261,NULL,49,0.4412,NULL,56,0,0.2727,0,NULL,NULL,44,0.2222,0.8333,22,-0.1852,-0.0435,617.2718351,-0.0226,-0.0183,2112,0.022,-0.0986,2361976,0.0806,0.0712,156,0.0685,0.5294,0.1642,-0.0627,-0.127
201906,94122,"san francisco, ca",NULL,1300050,0.0856,-0.058,23,0.5333,0.15,16,0.1034,0.1429,24,0.2,-0.1429,4,NULL,NULL,0,NULL,NULL,11,-0.2667,-0.4762,887.2403561,0.0115,0.0776,1500,0.1788,-0.0421,1420755,0.1206,-0.0482,34,0.1333,-0.1707,0.4783,-0.5217,-0.5717
201906,94044,"pacifica, ca",NULL,1098050,-0.0017,0,24,-0.25,0.0435,32,0.6,0.3913,32,-0.1111,-0.2,0,-1,NULL,0,-1,NULL,33,0.1,-0.25,681.474003,-0.0446,-0.0088,1630,0.0382,0,1125401,-0.0162,-0.0341,57,-0.0806,-0.1493,1.375,0.4375,-0.538
201906,94010,"burlingame, ca",NULL,3988050,-0.0489,-0.0459,79,0.3621,0.2154,39,0.0541,0.1471,40,-0.1667,-0.0909,0,NULL,NULL,24,0.5,2,29,-0.275,-0.2162,1091.053678,-0.0128,-0.0654,3840,0.0027,0.0699,4775575,-0.2648,-0.0435,108,0.102,0.0588,0.3671,-0.3226,-0.2021
201906,94608,"emeryville, ca",NULL,749050,0.0715,0,44,0.1282,0.1892,23,-0.1636,-0.1154,44,0.5714,0.1,0,NULL,NULL,8,0,1,36,-0.0526,-0.2941,625.9968102,0.0686,0.0493,1159,-0.0043,0.007,768391,0.0445,0.0659,80,0.039,-0.0909,0.8182,-0.1562,-0.5602
201906,94061,"redwood city, ca",NULL,1675050,0.006,0.0502,36,0,0.44,26,0.3333,0.2381,32,-0.1111,0,0,NULL,NULL,8,-0.3333,1,37,0.3214,0.2759,953.526971,0.0621,0.0779,1710,-0.0759,0.0118,1721855,0.0058,0.0052,73,0.1406,0.3519,1.0278,0.25,-0.1322
201906,94965,"sausalito, ca",NULL,1999050,-0.1398,0.1423,35,-0.0541,0.4,49,0.5556,0.2564,16,-0.2,1,0,NULL,NULL,8,0,1,8,3,0.3333,822.9166667,0.02,-0.1874,1966,-0.0667,0.0983,2401307,-0.0816,-0.0229,43,0.1026,0.3871,0.2286,0.1745,-0.0114
201906,94590,"vallejo, ca",*,400050,0,NULL,54,-0.1563,0,36,0.3585,0.44,32,-0.3333,0,0,NULL,-1,16,-0.2,0.3333,25,0.25,0.087,293.5064935,-0.0648,0.042,1424,0.0035,-0.0557,438941,-0.0052,-0.0797,79,-0.0595,0.026,0.463,0.1505,0.037
201906,94105,"san francisco, ca",NULL,1900050,-0.0404,0.1014,84,0.12,0.2174,49,0.1136,0.1395,16,-0.4286,-0.2,0,NULL,NULL,12,2,2,20,-0.3103,-0.0476,1548.22335,-0.0151,0.0866,1249,-0.0189,0.0382,2577944,-0.0232,0.1157,104,0,0.1556,0.2381,-0.1486,-0.0663
201906,94542,"hayward, ca",*,1248938,0.0548,0.3877,23,0.15,-0.0417,45,0.1538,NULL,12,0,-0.625,0,NULL,NULL,8,1,0,17,-0.15,-0.32,407.7434967,0,0.0355,3306,0.0009,0.2955,1203745,-0.0092,0.038,40,0,-0.1837,0.7391,-0.2609,-0.3025
201906,94520,"concord, ca",NULL,499050,0.1089,-0.0216,42,0.05,-0.1064,29,0.234,0.2609,36,0,-0.3077,0,NULL,NULL,20,0.25,0.25,33,-0.0571,-0.1538,363.2021136,0.0388,-0.0227,1162,0.0166,-0.0127,457248,0.0454,-0.1186,75,0,-0.1279,0.7857,-0.0893,-0.0441
201906,94123,"san francisco, ca",NULL,3295050,0.1002,-0.0586,26,0.0833,0.2381,39,0.6957,0.5,20,0.25,0,0,NULL,NULL,4,0,-0.5,12,-0.1429,0.2,1240.68323,-0.0581,0.0745,1880,-0.1924,0.4307,4656297,-0.1165,0.007,38,0,0.2258,0.4615,-0.1218,-0.0147
201906,94121,"san francisco, ca",NULL,1690050,-0.0975,-0.0029,17,-0.0556,0.0625,23,0.7692,-0.2333,24,0.2,1,0,NULL,NULL,0,NULL,NULL,18,0.125,-0.1,806.3471503,-0.06,-0.0294,1975,-0.1253,-0.1171,2071947,0.0555,0.0567,35,0.0294,-0.0278,1.0588,0.1699,-0.1912
201906,94117,"san francisco, ca",NULL,1695050,-0.2458,0.0627,17,-0.1053,-0.2609,13,0.625,-0.2353,20,-0.2857,0,0,NULL,NULL,4,NULL,0,21,0.05,0.1667,1008.702532,-0.0038,0.0174,1430,-0.2785,0.0214,2015879,-0.2953,0.0327,38,-0.0256,-0.0732,1.2353,0.1827,0.4527
201906,94558,"napa, ca",NULL,849550,-0.0551,-0.0336,220,0.0427,0.4103,49,0.0769,0.3243,76,-0.24,0,0,NULL,-1,64,-0.0588,0.7778,58,-0.1944,0.0175,483.0781628,-0.0192,-0.008,1879,-0.0381,-0.0548,1913768,0.0067,-0.0306,278,-0.0177,0.3052,0.2636,-0.0776,-0.1017
201906,94619,"oakland, ca",NULL,659950,-0.0898,-0.0559,22,-0.2143,-0.12,30,0.6216,0.3636,24,0.2,0,0,NULL,NULL,8,NULL,1,22,-0.1538,0.2222,537.5560538,-0.0057,0.014,1230,-0.0653,-0.0024,785919,0.0122,0.0993,44,-0.1852,0.0233,1,0.0714,0.28
201906,94545,"hayward, ca",NULL,699050,-0.0013,-0.0014,36,0.0286,0.6364,30,0.5385,0.875,28,-0.2222,-0.125,0,NULL,NULL,12,0.5,2,23,-0.0417,-0.2333,472.6166329,-0.0629,-0.0127,1450,0.0391,0.0069,736617,0.0007,0.0207,59,0,0.1346,0.6389,-0.0468,-0.7247
201906,94546,"castro valley, ca",NULL,799050,0.0682,-0.0012,56,0.3659,0.697,24,0.0667,0.5,56,0.4,0,0,NULL,NULL,16,0.3333,1,49,0,0.1667,490.6454545,-0.0176,0.0113,1548,0.1718,-0.0515,838432,0.0716,-0.0104,105,0.1667,0.4,0.875,-0.3201,-0.3977
201906,94607,"oakland, ca",*,639050,-0.0229,-0.1186,39,0.2188,0.4444,24,-0.4839,NULL,40,1,0.1111,0,NULL,NULL,0,-1,-1,21,-0.25,-0.3438,566.6666667,-0.003,0.0586,1229,-0.033,-0.1524,693690,-0.0272,-0.0437,60,0,0.0169,0.5385,-0.3365,-0.6467
201906,94109,"san francisco, ca",NULL,999050,-0.2008,-0.2165,74,0,0.0278,39,-0.3097,0,52,0.625,0.625,4,NULL,NULL,4,-0.6667,-0.75,32,-0.2,0.2308,1044.386423,0.0512,0.0457,983,-0.0787,-0.0484,2286561,0.0086,0.0693,106,-0.0702,0.0816,0.4324,-0.1081,0.0713
201906,94028,"portola valley, ca",NULL,3375050,-0.1234,-0.3112,18,-0.1,-0.2174,53,-0.0275,-0.0185,4,0,-0.5,0,NULL,NULL,4,NULL,0,4,-0.5556,-0.4286,1207.246377,-0.0885,-0.132,3045,-0.1095,-0.2192,3572095,-0.1581,-0.4513,22,-0.2414,-0.2667,0.2222,-0.2278,-0.0821
201906,94621,"oakland, ca",NULL,435050,0.0023,0.024,35,0.0938,0.3462,34,0.3878,-0.0811,24,-0.25,0.5,0,NULL,-1,8,NULL,NULL,26,-0.0714,0.1304,415.6928214,0.0013,-0.0093,1059,-0.0009,-0.0284,464826,0.0179,0.1022,61,0.0167,0.2449,0.7429,-0.1321,-0.1418
201906,94086,"sunnyvale, ca",NULL,1502050,0.0017,-0.1112,29,-0.1212,0.45,29,0.1373,0.7059,20,-0.2857,-0.2857,0,NULL,NULL,12,-0.25,0.5,24,-0.04,-0.1111,927.039555,-0.0039,-0.0745,1580,0.1416,0.0756,1488037,0.0369,-0.0718,53,-0.0862,0.1277,0.8276,0.07,-0.5224
201906,94022,"los altos, ca",NULL,3955050,-0.0108,-0.4097,40,0.0526,0.3333,37,0.6444,0.1935,16,-0.5556,-0.4286,0,NULL,NULL,4,-0.6667,0,21,-0.0455,0.2353,1276.847291,-0.0151,-0.0885,3346,0.0414,-0.307,6634910,0.0332,-0.2338,61,0.0167,0.2979,0.525,-0.0539,-0.0417
