regionname,city,Incr_Per,date,Incr_type,Year
94301,Palo Alto,-0.121368494,201908,Huge_Decr,2019
94127,San Francisco,-0.04186316,201908,Decr,2019
95620,Dixon,0.02569653,201908,Incr,2019
94022,Los Altos,-0.111896115,201908,Huge_Decr,2019
94618,Oakland,0.040236395,201908,Incr,2019
94563,Orinda,-0.021884566,201908,Decr,2019
94108,San Francisco,-0.035202303,201908,Decr,2019
94564,Pinole,0.004493119,201908,Incr,2019
94949,Novato,-0.00066122,201908,Decr,2019
94579,San Leandro,-0.027124046,201908,Decr,2019
94945,Novato,-0.007078972,201908,Decr,2019
94019,Half Moon Bay,-0.047955176,201908,Decr,2019
94705,Berkeley,0.025718126,201908,Incr,2019
94503,American Canyon,-0.00494369,201908,Decr,2019
94960,San Anselmo,-0.039287051,201908,Decr,2019
94920,Tiburon,0.019931456,201908,Incr,2019
94965,Sausalito,-0.013498247,201908,Decr,2019
94507,Alamo,-0.035989975,201908,Decr,2019
94556,Moraga,0.00628336,201908,Incr,2019
94709,Berkeley,0.008482832,201908,Incr,2019
94571,Rio Vista,0.003725488,201908,Incr,2019
94805,Richmond,-0.01112847,201908,Decr,2019
94707,Berkeley,-0.004189472,201908,Decr,2019
94904,Kentfield,-0.017605594,201908,Decr,2019
94502,Alameda,-0.007634314,201908,Decr,2019
94542,Hayward,-0.028493535,201908,Decr,2019
94517,Clayton,0.002749595,201908,Incr,2019
94065,Redwood City,-0.066734493,201908,Decr,2019
94552,Castro Valley,-0.028331394,201908,Decr,2019
94708,Berkeley,0.008437405,201908,Incr,2019
94305,Stanford,-0.109298038,201908,Huge_Decr,2019
94925,Corte Madera,-0.010928156,201908,Decr,2019
94930,Fairfax,0.013393521,201908,Incr,2019
94939,Larkspur,-0.030744526,201908,Decr,2019
94710,Berkeley,0.01959245,201908,Incr,2019
94572,Rodeo,0.075103091,201908,Incr,2019
94028,Portola Valley,-0.047098309,201908,Decr,2019
94304,Palo Alto,-0.108006821,201908,Huge_Decr,2019
94027,Atherton,0.012262101,201908,Incr,2019
94111,San Francisco,-0.031336196,201908,Decr,2019
94038,Moss Beach,-0.059185914,201908,Decr,2019
94005,Brisbane,-0.03742966,201908,Decr,2019
94535,Fairfield,0.020153367,201908,Incr,2019
94525,Crockett,0.041399833,201908,Incr,2019
95002,San Jose,-0.148392224,201908,Huge_Decr,2019
94973,Woodacre,0.023671912,201908,Incr,2019
