regionname,city,Incr_Per,date,Incr_type,Year,month_date_yyyymm,postal_code,zip_name,active_listing_count_yy,median_days_on_market_yy,new_listing_count_yy,pending_ratio_yy
94538,Fremont,-0.081357549,201908,Decr,2019,201907,94538,"fremont, ca",0.5147,0.75,0,-0.3448
94513,Brentwood,-0.004382471,201908,Decr,2019,201907,94513,"brentwood, ca",0.4813,0.3125,0.2,-0.2241
94587,Union City,-0.052437415,201908,Decr,2019,201907,94587,"union city, ca",0.7143,1.0588,0.0556,-0.5119
94112,San Francisco,-0.000787422,201908,Decr,2019,201907,94112,"san francisco, ca",0.125,-0.3654,0.4286,-0.2222
94087,Sunnyvale,-0.145554412,201908,Huge_Decr,2019,201907,94087,"sunnyvale, ca",0.0741,0.9737,-0.6364,-0.4636
94086,Sunnyvale,-0.146214783,201908,Huge_Decr,2019,201907,94086,"sunnyvale, ca",0.2174,0.4634,0.1667,-0.4317
94806,San Pablo,0.006596707,201908,Incr,2019,201907,94806,"san pablo, ca",0.0769,0.7917,0,0.2051
94591,Vallejo,0.013522296,201908,Incr,2019,201907,94591,"vallejo, ca",0.0674,0.1034,0.0714,0.0565
94553,Martinez,-0.023917422,201908,Decr,2019,201907,94553,"martinez, ca",-0.3,0.4615,-0.3333,0.3571
94015,Daly City,-0.037667857,201908,Decr,2019,201907,94015,"daly city, ca",0,0.2593,1.4,0.1333
94115,San Francisco,0.014542453,201908,Incr,2019,201907,94115,"san francisco, ca",0,0.1622,0.25,-0.4483
94117,San Francisco,0.016657073,201908,Incr,2019,201907,94117,"san francisco, ca",-0.1667,-0.3699,-0.25,0.1333
94121,San Francisco,-0.013323702,201908,Decr,2019,201907,94121,"san francisco, ca",-0.0952,0.4222,0,-0.589
94611,Oakland,-0.010046634,201908,Decr,2019,201907,94611,"oakland, ca",0.1111,0.3529,0.1667,0.2333
94550,Livermore,-0.040154923,201908,Decr,2019,201907,94550,"livermore, ca",0.4615,0.2679,0.125,-0.3232
94577,San Leandro,-0.022478232,201908,Decr,2019,201907,94577,"san leandro, ca",-0.1143,0.6,-0.0909,0.3899
