regionname,city,8/31/1996,8/31/1997,8/31/1998,8/31/1999,8/31/2000,8/31/2001,8/31/2002,8/31/2003,8/31/2004,8/31/2005,8/31/2006,8/31/2007,8/31/2008,8/31/2009,8/31/2010,8/31/2011,8/31/2012,8/31/2013,8/31/2014,8/31/2015,8/31/2016,8/31/2017,8/31/2018,8/31/2019,8/31/2020,199708,199808,199908,200008,200108,200208,200308,200408,200508,200608,200708,200808,200908,201008,201108,201208,201308,201408,201508,201608,201708,201808,201908,202008
94117,San Francisco,327069,345776,405950,473306,622769,661225,662920,680846,776846,902292,909665,930154,919350,834014,819641,783244,887512,1035484,1167945,1340505,1355546,1457309,1657374,1684981,1685408,0.0572,0.1740,0.1659,0.3158,0.0618,0.0026,0.0270,0.1410,0.1615,0.0082,0.0225,-0.0116,-0.0928,-0.0172,-0.0444,0.1331,0.1667,0.1279,0.1477,0.0112,0.0751,0.1373,0.0167,0.0003
94102,San Francisco,216036,241613,276787,311814,391347,444343,425812,445715,512146,627596,649064,667765,632303,566731,553611,518586,550821,681787,763091,872789,865081,883974,936713,920434,927593,0.1184,0.1456,0.1265,0.2551,0.1354,-0.0417,0.0467,0.1490,0.2254,0.0342,0.0288,-0.0531,-0.1037,-0.0232,-0.0633,0.0622,0.2378,0.1193,0.1438,-0.0088,0.0218,0.0597,-0.0174,0.0078
94121,San Francisco,392065,424046,487224,543199,661992,753242,767036,823591,929633,1033287,1044259,1068227,1012366,901381,894210,825355,878557,1051312,1210523,1376897,1441788,1515734,1693148,1670589,1669525,0.0816,0.1490,0.1149,0.2187,0.1378,0.0183,0.0737,0.1288,0.1115,0.0106,0.0230,-0.0523,-0.1096,-0.0080,-0.0770,0.0645,0.1966,0.1514,0.1374,0.0471,0.0513,0.1170,-0.0133,-0.0006
94611,Oakland,294119,317185,351495,377636,475236,542921,586336,624118,709784,818612,828484,789065,746529,736259,756612,692432,711789,870640,903476,1008621,1153015,1243287,1348810,1335259,1375989,0.0784,0.1082,0.0744,0.2584,0.1424,0.0800,0.0644,0.1373,0.1533,0.0121,-0.0476,-0.0539,-0.0138,0.0276,-0.0848,0.0280,0.2232,0.0377,0.1164,0.1432,0.0783,0.0849,-0.0100,0.0305
94550,Livermore,227036,239122,265587,293282,346911,404630,420541,446518,523352,633276,651856,612177,534197,483562,486870,452115,464104,600808,670073,722365,761773,795174,881984,846568,872138,0.0532,0.1107,0.1043,0.1829,0.1664,0.0393,0.0618,0.1721,0.2100,0.0293,-0.0609,-0.1274,-0.0948,0.0068,-0.0714,0.0265,0.2946,0.1153,0.0780,0.0546,0.0438,0.1092,-0.0402,0.0302
94577,San Leandro,191643,197903,216106,234331,267330,319897,346849,376692,438835,523810,545747,518655,418246,367104,362506,320166,313064,419125,457852,514903,573934,610417,684262,668881,702038,0.0327,0.0920,0.0843,0.1408,0.1966,0.0843,0.0860,0.1650,0.1936,0.0419,-0.0496,-0.1936,-0.1223,-0.0125,-0.1168,-0.0222,0.3388,0.0924,0.1246,0.1146,0.0636,0.1210,-0.0225,0.0496
94118,San Francisco,404518,454495,514791,591960,741687,830227,852235,883266,1006142,1173471,1190446,1215636,1186843,1107436,1119769,1074381,1177170,1374708,1570474,1747614,1802964,1862478,2164546,2222600,2181997,0.1235,0.1327,0.1499,0.2529,0.1194,0.0265,0.0364,0.1391,0.1663,0.0145,0.0212,-0.0237,-0.0669,0.0111,-0.0405,0.0957,0.1678,0.1424,0.1128,0.0317,0.0330,0.1622,0.0268,-0.0183
94546,Castro Valley,196588,206538,229591,250412,295641,353275,381590,415743,485621,586992,605572,569465,484583,444786,454535,402063,410505,517772,567491,623231,684106,724708,806789,789994,827657,0.0506,0.1116,0.0907,0.1806,0.1949,0.0802,0.0895,0.1681,0.2087,0.0317,-0.0596,-0.1491,-0.0821,0.0219,-0.1154,0.0210,0.2613,0.0960,0.0982,0.0977,0.0594,0.1133,-0.0208,0.0477
94403,San Mateo,313171,352478,408415,441596,539195,619519,623655,646705,751045,871531,901672,897729,814474,737378,750725,703775,760034,914724,1021615,1222191,1297059,1423652,1653683,1530321,1557481,0.1255,0.1587,0.0812,0.2210,0.1490,0.0067,0.0370,0.1613,0.1604,0.0346,-0.0044,-0.0927,-0.0947,0.0181,-0.0625,0.0799,0.2035,0.1169,0.1963,0.0613,0.0976,0.1616,-0.0746,0.0177
94103,San Francisco,224898,257392,293050,354941,449124,498735,473015,494021,563880,681649,697741,718896,673970,592469,588761,563535,609444,738716,816166,939085,922990,936941,1035014,1048554,1036110,0.1445,0.1385,0.2112,0.2653,0.1105,-0.0516,0.0444,0.1414,0.2089,0.0236,0.0303,-0.0625,-0.1209,-0.0063,-0.0428,0.0815,0.2121,0.1048,0.1506,-0.0171,0.0151,0.1047,0.0131,-0.0119
